Year;Market Cap;Change
2024;$3.181 T;6.25%
2023;$2.994 T;44.87%
2022;$2.066 T;-28.77%
2021;$2.901 T;28.62%
2020;$2.255 T;75.2%
2019;$1.287 T;72.59%
2018;$746.07 B;-13.34%
2017;$860.88 B;41.37%
2016;$608.96 B;4.34%
2015;$583.61 B;-9.25%
2014;$643.12 B;28.43%
2013;$500.74 B;0.21%
2012;$499.69 B;32.36%
2011;$377.51 B;27.07%
2010;$297.09 B;55.56%
2009;$190.98 B;151.3%
2008;$75.99 B;-56.33%
2007;$174.03 B;138.47%
2006;$72.98 B;20.05%
2005;$60.79 B;133.34%
2004;$26.05 B;230.6%
2003;$7.88 B;52.65%
2002;$5.16 B;-33.12%
2001;$7.71 B;
