Year;Market Cap;Change
2024;$3.113 T;154.53%
2023;$1.223 T;235.88%
2022;$364.18 B;-50.47%
2021;$735.27 B;127.47%
2020;$323.24 B;124.47%
2019;$144.00 B;76.83%
2018;$81.43 B;-30.55%
2017;$117.26 B;103.82%
2016;$57.53 B;224.45%
2015;$17.73 B;62.71%
2014;$10.89 B;19.65%
2013;$9.10 B;18.89%
2012;$7.66 B;-9.49%
2011;$8.46 B;-5.41%
2010;$8.94 B;-13.68%
2009;$10.36 B;139.16%
2008;$4.33 B;-77.07%
2007;$18.90 B;43.64%
2006;$13.15 B;110.26%
2005;$6.25 B;59.81%
2004;$3.91 B;56.09%
2003;$2.50 B;107.47%
2002;$1.20 B;-81.25%
2001;$6.44 B;
